sp,Latin,Genus,Species,Family,SpeciesID,Authority,IDLevel,syn,subsp,group
acne,Acer negundo,Acer,negundo,Sapindaceae,1,NA,species,NA,NA,1
acpl,Acer platanoides,Acer,platanoides,Sapindaceae,2,NA,species,NA,NA,2
acru,Acer rubrum,Acer,rubrum,Sapindaceae,3,NA,species,NA,NA,2
acsp,Acer sp,Acer,sp,Sapindaceae,4,NA,multiple,NA,NA,
aial,Ailanthus altissima,Ailanthus,altissima,Simaroubaceae,5,NA,species,NA,NA,1
amar,Amelanchier arborea,Amelanchier,arborea,Rosaceae,6,NA,species,NA,NA,
astr,Asimina triloba,Asimina,triloba,Annonaceae,7,NA,species,NA,NA,
beth,Berberis thunbergii,Berberis,thunbergii,Berberidaceae,8,NA,species,NA,NA,
caca,Carpinus caroliniana,Carpinus,caroliniana,Betulaceae,9,NA,species,NA,NA,3
caco,Carya cordiformis,Carya,cordiformis,Juglandaceae,10,NA,species,NA,NA,1
cade,Castanea dentata,Castanea,dentata,Fagaceae,11,NA,species,NA,NA,3
cagl,Carya glabra,Carya,glabra,Juglandaceae,12,NA,species,NA,NA,1
caovl,Carya ovalis,Carya,ovalis,Juglandaceae,13,NA,species,NA,NA,
casp,Carya sp,Carya,sp,Juglandaceae,14,NA,multiple,NA,NA,
cato,Carya tomentosa,Carya,tomentosa,Juglandaceae,15,NA,species,NA,NA,4
ceca,Cercis canadensis,Cercis,canadensis,Fabaceae,16,NA,species,NA,NA,3
ceoc,Celtis occidentalis,Celtis,occidentalis,Cannabaceae,17,NA,species,NA,NA,1
chvi,Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,18,NA,species,NA,NA,
coal,Cornus alternifolia,Cornus,alternifolia,Cornaceae,19,NA,species,NA,NA,
coam,Corylus americana,Corylus,americana,Betulaceae,20,NA,species,NA,NA,
cofl,Cornus florida,Cornus,florida,Cornaceae,21,NA,species,NA,NA,3
crpr,Crataegus pruinosa,Crataegus,pruinosa,Rosaceae,22,NA,species,NA,NA,
crsp,Crataegus sp,Crataegus,sp,Rosaceae,23,NA,multiple,NA,NA,
divi,Diospyros virginiana,Diospyros,virginiana,Ebenaceae,24,NA,species,NA,NA,1
elum,Elaeagnus umbellata,Elaeagnus,umbellata,Elaeagnaceae,25,NA,species,NA,NA,
eual,Euonymus alatus,Euonymus,alatus,Celastraceae,72,(Thunb.) Siebold,species,NA,NA,
fagr,Fagus grandifolia,Fagus,grandifolia,Fagaceae,26,NA,species,NA,NA,1
fram,Fraxinus americana,Fraxinus,americana,Oleaceae,27,NA,species,NA,NA,1
frni,Fraxinus nigra,Fraxinus,nigra,Oleaceae,28,NA,species,NA,NA,2
frpe,Fraxinus pennsylvanica,Fraxinus,pennsylvanica,Oleaceae,29,NA,species,NA,NA,2
frsp,Fraxinus sp,Fraxinus,sp,Oleaceae,30,NA,multiple,NA,NA,
havi,Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,31,NA,species,NA,NA,3
ilve,Ilex verticillata,Ilex,verticillata,Aquifoliaceae,32,NA,species,NA,NA,
juci,Juglans cinerea,Juglans,cinerea,Juglandaceae,33,NA,species,NA,NA,5
juni,Juglans nigra,Juglans,nigra,Juglandaceae,34,NA,species,NA,NA,2
juvi,Juniperus virginiana,Juniperus,virginiana,Cupressaceae,35,NA,species,NA,NA,5
libe,Lindera benzoin,Lindera,benzoin,Lauraceae,36,NA,species,NA,NA,
litu,Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,37,NA,species,NA,NA,4
loma,Lonicera maackii,Lonicera,maackii,Caprifoliaceae,38,NA,species,NA,NA,
nysy,Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae,39,NA,species,NA,NA,2
pato,Paulownia tomentosa,Paulownia,tomentosa,Paulowniaceae,40,NA,species,NA,NA,
pipu,Pinus pungens,Pinus,pungens,Pinaceae,41,NA,species,NA,NA,5
pist,Pinus strobus,Pinus,strobus,Pinaceae,42,NA,species,NA,NA,5
pivi,Pinus virginiana,Pinus,virginiana,Pinaceae,43,NA,species,NA,NA,5
ploc,Platanus occidentalis,Platanus,occidentalis,Platanaceae,44,NA,species,NA,NA,2
prav,Prunus avium,Prunus,avium,Rosaceae,45,NA,species,NA,NA,2
prpe,Prunus persica,Prunus,persica,Rosaceae,46,NA,species,NA,NA,3
prse,Prunus serotina,Prunus,serotina,Rosaceae,47,NA,species,NA,NA,2
prsp,Prunus sp,Prunus,sp,Rosaceae,48,NA,multiple,NA,NA,
qual,Quercus alba,Quercus,alba,Fagaceae,49,NA,species,NA,NA,6
quco,Quercus coccinea,Quercus,coccinea,Fagaceae,50,NA,species,NA,NA,6
qufa,Quercus falcata,Quercus,falcata,Fagaceae,51,NA,species,NA,NA,6
qumi,Quercus michauxii,Quercus,michauxii,Fagaceae,52,NA,species,NA,NA,6
qupr,Quercus prinus,Quercus,prinus,Fagaceae,54,NA,species,NA,NA,6
quru,Quercus rubra,Quercus,rubra,Fagaceae,55,NA,species,NA,NA,2
qusp,Quercus sp,Quercus,sp,Fagaceae,56,NA,multiple,NA,NA,
quve,Quercus velutina,Quercus,velutina,Fagaceae,57,NA,species,NA,NA,6
rhpe,Rhododendron periclymenoides,Rhododendron,periclymenoides,Ericaceae,74,NA,species,NA,NA,
romu,Rosa multiflora,Rosa,multiflora,Rosaceae,58,NA,species,NA,NA,
rops,Robinia pseudoacacia,Robinia,pseudoacacia,Fabaceae,59,NA,species,NA,NA,1
rual,Rubus allegheniensis,Rubus,allegheniensis,Rosaceae,60,NA,species,NA,NA,
rupe,Rubus pensilvanicus,Rubus,pensilvanicus,Rosaceae,61,NA,species,NA,NA,
ruph,Rubus phoenicolasius,Rubus,phoenicolasius,Rosaceae,62,NA,species,NA,NA,
saal,Sassafras albidum,Sassafras,albidum,Lauraceae,63,NA,species,NA,NA,1
saca,Sambucus canadensis,Sambucus,canadensis,Adoxaceae,64,NA,species,NA,NA,3
tiam,Tilia americana,Tilia,americana,Malvaceae,65,NA,species,NA,NA,4
ulam,Ulmus americana,Ulmus,americana,Ulmaceae,66,NA,species,NA,NA,2
ulru,Ulmus rubra,Ulmus,rubra,Ulmaceae,67,NA,species,NA,NA,1
ulsp,Ulmus sp,Ulmus,sp,Ulmaceae,68,NA,multiple,NA,NA,
unk,Unidentified unk,Unidentified,unk,Unknown,69,NA,multiple,NA,NA,
viac,Viburnum acerifolium,Viburnum,acerifolium,Adoxaceae,73,L.,species,NA,NA,
vipr,Viburnum prunifolium,Viburnum,prunifolium,Adoxaceae,70,NA,species,NA,NA,
vire,Viburnum recognitum,Viburnum,recognitum,Adoxaceae,71,NA,species,NA,NA,